course,P_any_F1,P_any_F2,P_any_F3,P_any_F4,P_any_S1,P_any_S2,P_any_S3,P_any_S4
AP Biology (full year),0.264,0.272,0.276,0.188,0.264,0.272,0.276,0.188
AP Calculus AB,0.387,0.352,0.261,0.0,0.387,0.352,0.261,0.0
AP Comp Sci Prin,0.262,0.219,0.225,0.294,0.247,0.256,0.21,0.287
AP English III (10th Grade),0.502,0.488,0.449,0.561,0.045,0.039,0.046,0.067
AP English III (11th/12th Grade),0.271,0.274,0.216,0.239,0.0,0.0,0.0,0.0
AP Env Sci 1C,0.375,0.364,0.402,0.0,0.62,0.6,0.639,0.0
AP European Hist,0.187,0.182,0.155,0.289,0.247,0.234,0.17,0.3
AP Human Geog,0.683,0.679,0.633,1.0,0.207,0.236,0.237,0.325
AP Physics I Alg,0.227,0.225,0.267,0.199,0.266,0.272,0.254,0.236
AP Physics II Alg,0.248,0.278,0.272,0.222,0.23,0.218,0.276,0.228
AP Pre-Calculus,0.197,0.2,0.235,0.132,0.296,0.269,0.35,0.247
AP Psychology,0.225,0.255,0.188,0.301,0.158,0.143,0.094,0.218
AP Research,0.238,0.264,0.242,0.256,0.0,0.0,0.0,0.0
AP Seminar,0.0,0.0,0.0,0.0,0.283,0.276,0.272,0.339
AP Statistics,0.187,0.183,0.239,0.165,0.278,0.268,0.322,0.257
AP Std Art&Draw,0.249,0.248,0.248,0.255,0.0,0.0,0.0,0.0
AP US History,0.187,0.19,0.297,0.326,0.187,0.19,0.297,0.326
Act Prep,0.266,0.241,0.259,0.234,0.39,0.369,0.349,0.314
Afr American H,0.26,0.275,0.266,0.317,0.615,0.622,0.625,0.674
Algebra II H,0.4,0.377,0.412,0.439,0.471,0.464,0.47,0.515
Algebra II H GT,0.21,0.214,0.245,0.192,0.027,0.035,0.038,0.039
Amer Hist H,0.431,0.414,0.423,0.529,0.433,0.463,0.45,0.564
Band,0.252,0.263,0.229,0.256,0.246,0.257,0.238,0.259
Biology H,0.497,0.458,0.455,0.59,0.486,0.472,0.49,0.552
Chemistry H,0.737,0.746,0.726,0.791,0.254,0.244,0.242,0.26
Civics H,0.454,0.488,0.476,0.467,0.449,0.43,0.405,0.586
DE Adv Math PCal,0.0,0.0,0.0,0.0,0.542,0.532,0.473,0.453
DE Algebra III,0.751,0.736,0.75,0.763,0.0,0.0,0.0,0.0
DE Art Hist I,0.601,0.569,0.545,0.548,0.346,0.344,0.295,0.265
DE Eng IV: 2303,0.265,0.246,0.241,0.248,0.078,0.077,0.076,0.078
DE Intro to Engnr,0.401,0.393,0.34,0.291,0.299,0.332,0.309,0.261
DE Intro to Theatre,0.482,0.46,0.425,0.481,0.435,0.449,0.415,0.483
Enginr Dev+ LSU,0.459,0.475,0.512,0.496,0.518,0.477,0.542,0.521
English II H,0.47,0.473,0.524,0.533,0.495,0.509,0.459,0.537
English II H GT,0.0,0.0,0.0,0.0,0.25,0.244,0.263,0.243
English III H,0.0,0.0,0.0,0.0,0.524,0.512,0.546,0.5
English IV H,0.475,0.518,0.466,0.541,0.363,0.368,0.34,0.35
English IV H GT,0.0,0.0,0.0,0.0,0.298,0.302,0.315,0.355
Fin Literacy,0.703,0.745,0.772,0.78,0.754,0.735,0.745,0.766
Fine Art (H),0.459,0.471,0.458,0.476,0.499,0.495,0.484,0.468
Geometry H,0.46,0.489,0.478,0.573,0.489,0.474,0.502,0.535
Health Edu,0.791,0.814,0.815,0.0,0.638,0.623,0.627,0.0
Indiv Proj H 1C,0.226,0.244,0.255,0.275,0.0,0.0,0.0,0.0
Int Comp Think H,0.183,0.2,0.204,0.205,0.307,0.289,0.312,0.3
Music Apprec H,0.416,0.421,0.386,0.372,0.398,0.441,0.424,0.427
PE I,0.506,0.473,0.468,0.0,0.655,0.65,0.684,0.0
Physics H,0.447,0.453,0.312,0.276,0.414,0.378,0.255,0.27
Robotics (LSU),0.188,0.21,0.27,0.0,0.091,0.112,0.129,0.0
Spanish I H,0.744,0.72,0.74,0.796,0.279,0.213,0.257,0.251
Spanish II H,0.0,0.0,0.0,0.0,0.652,0.708,0.676,0.715
Tal Art,0.184,0.159,0.172,0.173,0.527,0.553,0.571,0.523
Tal Music,0.342,0.339,0.356,0.368,0.318,0.327,0.323,0.342
Tal Theatre,0.293,0.295,0.303,0.261,0.317,0.3,0.33,0.271
Theatre Tech H,0.0,0.0,0.0,0.0,0.204,0.229,0.254,0.313
World Hist H,0.078,0.081,0.056,0.104,0.165,0.145,0.134,0.237
