course,demand,capacity,target_sections,floor_sections,mean_offered_sections,min_offered_sections,max_offered_sections,p_meet_target,p_seats_ok,expected_seat_short,expected_waste_seats,most_common_offered,top_periods
AP Biology (full year),13,33,1,1,1.0,1,1,1.0,1.0,0.0,20.0,1 sec: 100.0%,"F3:27.6%, S3:27.6%, F2:27.2%"
AP Calculus AB,31,33,1,1,1.0,1,1,1.0,1.0,0.0,2.0,1 sec: 100.0%,"F1:38.7%, S1:38.7%, F2:35.2%"
AP Comp Sci Prin,78,33,3,1,2.0,2,2,0.0,0.0,12.0,0.0,2 sec: 100.0%,"F4:29.4%, S4:28.7%, F1:26.2%"
AP English III (10th Grade),62,33,2,2,2.197,2,3,1.0,1.0,0.0,10.501,2 sec: 80.3%; 3 sec: 19.7%,"F4:56.1%, F1:50.2%, F2:48.8%"
AP English III (11th/12th Grade),25,33,1,1,1.0,1,1,1.0,1.0,0.0,8.0,1 sec: 100.0%,"F2:27.4%, F1:27.1%, F4:23.9%"
AP Env Sci 1C,94,33,3,1,3.0,3,3,1.0,1.0,0.0,5.0,3 sec: 100.0%,"S3:63.9%, S1:62.0%, S2:60.0%"
AP European Hist,72,33,3,1,1.764,1,2,0.0,0.0,13.788,0.0,2 sec: 76.4%; 1 sec: 23.6%,"S4:30.0%, F4:28.9%, S1:24.7%"
AP Human Geog,125,33,4,4,4.0,4,4,1.0,1.0,0.0,7.0,4 sec: 100.0%,"F4:100.0%, F1:68.3%, F2:67.9%"
AP Physics I Alg,66,33,2,1,2.0,2,2,1.0,1.0,0.0,0.0,2 sec: 100.0%,"S2:27.2%, F3:26.7%, S1:26.6%"
AP Physics II Alg,49,33,2,1,2.0,2,2,1.0,1.0,0.0,17.0,2 sec: 100.0%,"F2:27.8%, S3:27.6%, F3:27.2%"
AP Pre-Calculus,45,33,2,1,2.0,2,2,1.0,1.0,0.0,21.0,2 sec: 100.0%,"S3:35.0%, S1:29.6%, S2:26.9%"
AP Psychology,77,33,3,1,1.582,1,2,0.0,0.0,24.794,0.0,2 sec: 58.2%; 1 sec: 41.8%,"F4:30.1%, F2:25.5%, F1:22.5%"
AP Research,19,33,1,1,1.0,1,1,1.0,1.0,0.0,14.0,1 sec: 100.0%,"F2:26.4%, F4:25.6%, F3:24.2%"
AP Seminar,31,33,1,1,1.17,1,2,1.0,1.0,0.0,7.61,1 sec: 83.0%; 2 sec: 17.0%,"S4:33.9%, S1:28.3%, S2:27.6%"
AP Statistics,60,33,2,1,2.0,2,2,1.0,1.0,0.0,6.0,2 sec: 100.0%,"S3:32.2%, S1:27.8%, S2:26.8%"
AP Std Art&Draw,7,33,1,1,1.0,1,1,1.0,1.0,0.0,26.0,1 sec: 100.0%,"F4:25.5%, F1:24.9%, F2:24.8%"
AP US History,15,33,1,1,1.0,1,1,1.0,1.0,0.0,18.0,1 sec: 100.0%,"F4:32.6%, S4:32.6%, F3:29.7%"
Act Prep,56,33,2,1,2.422,2,3,1.0,1.0,0.0,23.926,2 sec: 57.8%; 3 sec: 42.2%,"S1:39.0%, S2:36.9%, S3:34.9%"
Afr American H,129,33,4,1,3.654,3,4,0.654,0.654,10.38,1.962,4 sec: 65.4%; 3 sec: 34.6%,"S4:67.4%, S3:62.5%, S2:62.2%"
Algebra II H,106,33,4,4,4.0,4,4,1.0,1.0,0.0,26.0,4 sec: 100.0%,"S4:51.5%, S1:47.1%, S3:47.0%"
Algebra II H GT,20,33,1,1,1.0,1,1,1.0,1.0,0.0,13.0,1 sec: 100.0%,"F3:24.5%, F2:21.4%, F1:21.0%"
Amer Hist H,121,33,4,4,4.0,4,4,1.0,1.0,0.0,11.0,4 sec: 100.0%,"S4:56.4%, F4:52.9%, S2:46.3%"
Band,20,33,1,1,2.0,2,2,1.0,1.0,0.0,46.0,2 sec: 100.0%,"F2:26.3%, S4:25.9%, S2:25.7%"
Biology H,124,33,4,4,4.0,4,4,1.0,1.0,0.0,8.0,4 sec: 100.0%,"F4:59.0%, S4:55.2%, F1:49.7%"
Chemistry H,127,33,4,4,4.0,4,4,1.0,1.0,0.0,5.0,4 sec: 100.0%,"F4:79.1%, F2:74.6%, F1:73.7%"
Civics H,125,33,4,4,4.0,4,4,1.0,1.0,0.0,7.0,4 sec: 100.0%,"S4:58.6%, F2:48.8%, F3:47.6%"
DE Adv Math PCal,66,33,2,1,2.0,2,2,1.0,1.0,0.0,0.0,2 sec: 100.0%,"S1:54.2%, S2:53.2%, S3:47.3%"
DE Algebra III,86,33,3,1,3.0,3,3,1.0,1.0,0.0,13.0,3 sec: 100.0%,"F4:76.3%, F1:75.1%, F3:75.0%"
DE Art Hist I,66,33,2,1,3.513,2,6,1.0,1.0,0.0,49.929,3 sec: 37.7%; 4 sec: 34.0%; 2 sec: 14.0%; 5 sec: 11.6%,"F1:60.1%, F2:56.9%, F4:54.8%"
DE Eng IV: 2303,33,33,1,1,1.309,1,2,1.0,1.0,0.0,10.197,1 sec: 69.1%; 2 sec: 30.9%,"F1:26.5%, F4:24.8%, F2:24.6%"
DE Intro to Engnr,85,33,3,1,3.0,3,3,1.0,1.0,0.0,14.0,3 sec: 100.0%,"F1:40.1%, F2:39.3%, F3:34.0%"
DE Intro to Theatre,51,33,2,1,3.63,2,5,1.0,1.0,0.0,68.79,4 sec: 43.6%; 3 sec: 30.8%; 5 sec: 15.0%; 2 sec: 10.6%,"S4:48.3%, F1:48.2%, F4:48.1%"
Enginr Dev+ LSU,114,33,4,4,4.0,4,4,1.0,1.0,0.0,18.0,4 sec: 100.0%,"S3:54.2%, S4:52.1%, S1:51.8%"
English II H,104,33,4,4,4.0,4,4,1.0,1.0,0.0,28.0,4 sec: 100.0%,"S4:53.7%, F4:53.3%, F3:52.4%"
English II H GT,19,33,1,1,1.0,1,1,1.0,1.0,0.0,14.0,1 sec: 100.0%,"S3:26.3%, S1:25.0%, S2:24.4%"
English III H,66,33,2,2,2.211,2,3,1.0,1.0,0.0,6.963,2 sec: 78.9%; 3 sec: 21.1%,"S3:54.6%, S1:52.4%, S2:51.2%"
English IV H,87,33,3,3,3.421,3,4,1.0,1.0,0.0,25.893,3 sec: 57.9%; 4 sec: 42.1%,"F4:54.1%, F2:51.8%, F1:47.5%"
English IV H GT,18,33,1,1,1.27,1,2,1.0,1.0,0.0,23.91,1 sec: 73.0%; 2 sec: 27.0%,"S4:35.5%, S3:31.5%, S2:30.2%"
